"lineRef","stopPointRef","stopPointName","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek"
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T16:10:00.000Z""}","{""value"":""2025-01-30T16:10:43.000Z""}","{""value"":""2025-01-30T16:10:00.000Z""}","{""value"":""2025-01-30T16:10:03.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T16:11:00.000Z""}","{""value"":""2025-01-30T16:13:21.000Z""}","{""value"":""2025-01-30T16:11:00.000Z""}","{""value"":""2025-01-30T16:12:41.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T16:11:00.000Z""}","{""value"":""2025-01-30T16:20:45.000Z""}","{""value"":""2025-01-30T16:11:00.000Z""}","{""value"":""2025-01-30T16:20:06.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T16:11:00.000Z""}","{""value"":""2025-01-30T16:13:17.000Z""}","{""value"":""2025-01-30T16:11:00.000Z""}","{""value"":""2025-01-30T16:12:25.000Z""}",4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T16:12:00.000Z""}","{""value"":""2025-01-30T16:12:13.000Z""}","{""value"":""2025-01-30T16:12:00.000Z""}","{""value"":""2025-01-30T16:11:44.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T16:13:00.000Z""}","{""value"":""2025-01-30T16:18:28.000Z""}","{""value"":""2025-01-30T16:13:00.000Z""}","{""value"":""2025-01-30T16:17:49.000Z""}",4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T16:15:00.000Z""}","{""value"":""2025-01-30T16:15:01.000Z""}",,,4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T16:16:00.000Z""}","{""value"":""2025-01-30T16:20:35.000Z""}","{""value"":""2025-01-30T16:16:00.000Z""}","{""value"":""2025-01-30T16:20:01.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T16:16:00.000Z""}",,"{""value"":""2025-01-30T16:16:00.000Z""}",,4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T16:18:00.000Z""}","{""value"":""2025-01-30T16:18:06.000Z""}","{""value"":""2025-01-30T16:18:00.000Z""}","{""value"":""2025-01-30T16:16:41.000Z""}",4
"SKY:Line:11","NSR:Quay:53114",,"{""value"":""2025-01-30T16:19:00.000Z""}","{""value"":""2025-01-30T16:20:31.000Z""}","{""value"":""2025-01-30T16:19:00.000Z""}","{""value"":""2025-01-30T16:20:02.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T16:21:00.000Z""}","{""value"":""2025-01-30T16:22:07.000Z""}","{""value"":""2025-01-30T16:21:00.000Z""}","{""value"":""2025-01-30T16:21:26.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T16:21:00.000Z""}","{""value"":""2025-01-30T16:24:13.000Z""}","{""value"":""2025-01-30T16:21:00.000Z""}","{""value"":""2025-01-30T16:23:37.000Z""}",4
"SKY:Line:18","NSR:Quay:53118",,"{""value"":""2025-01-30T16:21:00.000Z""}","{""value"":""2025-01-30T16:20:55.000Z""}","{""value"":""2025-01-30T16:21:00.000Z""}","{""value"":""2025-01-30T16:19:11.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T16:23:00.000Z""}","{""value"":""2025-01-30T16:26:11.000Z""}","{""value"":""2025-01-30T16:23:00.000Z""}","{""value"":""2025-01-30T16:25:25.000Z""}",4
"SKY:Line:12","NSR:Quay:53117",,"{""value"":""2025-01-30T16:23:00.000Z""}","{""value"":""2025-01-30T16:24:25.000Z""}","{""value"":""2025-01-30T16:23:00.000Z""}","{""value"":""2025-01-30T16:23:40.000Z""}",4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T16:25:00.000Z""}","{""value"":""2025-01-30T16:25:26.000Z""}","{""value"":""2025-01-30T16:25:00.000Z""}","{""value"":""2025-01-30T16:24:58.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T16:26:00.000Z""}","{""value"":""2025-01-30T16:31:23.000Z""}","{""value"":""2025-01-30T16:26:00.000Z""}","{""value"":""2025-01-30T16:30:50.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T16:26:00.000Z""}","{""value"":""2025-01-30T16:27:21.000Z""}","{""value"":""2025-01-30T16:26:00.000Z""}","{""value"":""2025-01-30T16:26:27.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T16:26:00.000Z""}","{""value"":""2025-01-30T16:35:08.000Z""}","{""value"":""2025-01-30T16:26:00.000Z""}","{""value"":""2025-01-30T16:34:29.000Z""}",4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T16:27:00.000Z""}","{""value"":""2025-01-30T16:28:54.000Z""}","{""value"":""2025-01-30T16:27:00.000Z""}","{""value"":""2025-01-30T16:28:21.000Z""}",4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T16:30:00.000Z""}","{""value"":""2025-01-30T16:30:09.000Z""}",,,4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T16:31:00.000Z""}","{""value"":""2025-01-30T16:35:08.000Z""}","{""value"":""2025-01-30T16:31:00.000Z""}","{""value"":""2025-01-30T16:34:30.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T16:31:00.000Z""}","{""value"":""2025-01-30T16:32:50.000Z""}","{""value"":""2025-01-30T16:31:00.000Z""}","{""value"":""2025-01-30T16:32:29.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T16:33:00.000Z""}","{""value"":""2025-01-30T16:35:13.000Z""}","{""value"":""2025-01-30T16:33:00.000Z""}",,4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T16:36:00.000Z""}","{""value"":""2025-01-30T16:40:30.000Z""}","{""value"":""2025-01-30T16:36:00.000Z""}","{""value"":""2025-01-30T16:39:37.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T16:36:00.000Z""}","{""value"":""2025-01-30T16:36:36.000Z""}","{""value"":""2025-01-30T16:36:00.000Z""}","{""value"":""2025-01-30T16:36:14.000Z""}",4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T16:39:00.000Z""}","{""value"":""2025-01-30T16:41:10.000Z""}","{""value"":""2025-01-30T16:39:00.000Z""}","{""value"":""2025-01-30T16:40:48.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T16:41:00.000Z""}","{""value"":""2025-01-30T16:46:15.000Z""}","{""value"":""2025-01-30T16:41:00.000Z""}","{""value"":""2025-01-30T16:45:36.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T16:41:00.000Z""}","{""value"":""2025-01-30T16:44:01.000Z""}","{""value"":""2025-01-30T16:41:00.000Z""}","{""value"":""2025-01-30T16:43:32.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T16:41:00.000Z""}","{""value"":""2025-01-30T16:41:10.000Z""}","{""value"":""2025-01-30T16:41:00.000Z""}","{""value"":""2025-01-30T16:39:58.000Z""}",4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T16:42:00.000Z""}","{""value"":""2025-01-30T16:42:12.000Z""}","{""value"":""2025-01-30T16:42:00.000Z""}","{""value"":""2025-01-30T16:41:09.000Z""}",4
"SKY:Line:12","NSR:Quay:53117",,"{""value"":""2025-01-30T16:43:00.000Z""}","{""value"":""2025-01-30T16:45:02.000Z""}","{""value"":""2025-01-30T16:43:00.000Z""}","{""value"":""2025-01-30T16:44:19.000Z""}",4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T16:45:00.000Z""}","{""value"":""2025-01-30T16:49:12.000Z""}",,,4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T16:46:00.000Z""}","{""value"":""2025-01-30T16:46:36.000Z""}","{""value"":""2025-01-30T16:46:00.000Z""}","{""value"":""2025-01-30T16:45:55.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T16:46:00.000Z""}","{""value"":""2025-01-30T16:51:07.000Z""}","{""value"":""2025-01-30T16:46:00.000Z""}","{""value"":""2025-01-30T16:50:02.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T16:48:00.000Z""}","{""value"":""2025-01-30T16:49:37.000Z""}","{""value"":""2025-01-30T16:48:00.000Z""}","{""value"":""2025-01-30T16:48:41.000Z""}",4
"SKY:Line:11","NSR:Quay:53114",,"{""value"":""2025-01-30T16:49:00.000Z""}","{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:49:00.000Z""}","{""value"":""2025-01-30T16:50:23.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:53:42.000Z""}","{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:53:16.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:55:56.000Z""}","{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:55:17.000Z""}",4
"SKY:Line:18","NSR:Quay:53118",,"{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:51:38.000Z""}","{""value"":""2025-01-30T16:51:00.000Z""}","{""value"":""2025-01-30T16:51:13.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T16:53:00.000Z""}","{""value"":""2025-01-30T16:58:39.000Z""}","{""value"":""2025-01-30T16:53:00.000Z""}","{""value"":""2025-01-30T16:57:54.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T16:56:00.000Z""}","{""value"":""2025-01-30T17:02:58.000Z""}","{""value"":""2025-01-30T16:56:00.000Z""}","{""value"":""2025-01-30T17:02:20.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T16:56:00.000Z""}","{""value"":""2025-01-30T16:57:06.000Z""}","{""value"":""2025-01-30T16:56:00.000Z""}","{""value"":""2025-01-30T16:56:17.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T16:56:00.000Z""}","{""value"":""2025-01-30T17:00:37.000Z""}","{""value"":""2025-01-30T16:56:00.000Z""}","{""value"":""2025-01-30T16:59:54.000Z""}",4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T16:57:00.000Z""}","{""value"":""2025-01-30T16:56:48.000Z""}","{""value"":""2025-01-30T16:57:00.000Z""}","{""value"":""2025-01-30T16:56:10.000Z""}",4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T17:00:00.000Z""}","{""value"":""2025-01-30T17:02:42.000Z""}",,,4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T17:01:00.000Z""}","{""value"":""2025-01-30T17:05:33.000Z""}","{""value"":""2025-01-30T17:01:00.000Z""}","{""value"":""2025-01-30T17:04:54.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T17:01:00.000Z""}","{""value"":""2025-01-30T17:01:57.000Z""}","{""value"":""2025-01-30T17:01:00.000Z""}","{""value"":""2025-01-30T17:01:30.000Z""}",4
"SKY:Line:12","NSR:Quay:53117",,"{""value"":""2025-01-30T17:03:00.000Z""}","{""value"":""2025-01-30T17:05:57.000Z""}","{""value"":""2025-01-30T17:03:00.000Z""}","{""value"":""2025-01-30T17:05:33.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T17:06:00.000Z""}","{""value"":""2025-01-30T17:06:00.000Z""}","{""value"":""2025-01-30T17:06:00.000Z""}","{""value"":""2025-01-30T17:05:28.000Z""}",4
